system,run_id,max_cpus,host_system,payload_size,iterations,workers,category,total_ops,throughput_ops_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,cpu_db_mean_perc,cpu_client_mean_perc,mem_db_mean_mib,mem_client_mean_mib,io_db_read_mib,io_db_write_mib,io_client_read_mib,io_client_write_mib,resource_samples
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,8,mix_90W_10R,80000,9891.136,0.6651751,0.104072005,0.57883465,1.2917929,0.0018639985,103.44365,0.0,99.8796,0.0,3164.40576,0.0,0.0,4.099999999999998,0.0,25
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,1,delete,10000,103551.27,0.009657051,0.0055210004,0.012465449,0.031499412,0.0050299987,15.83339,0.0,90.98,0.0,62.47,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,1,insert,10000,124810.3,0.00801216,0.0051299995,0.0233165,0.03702601,0.0044480003,4.907572,0.0,77.22,0.0,12.28,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,1,read,10000,418249.16,0.0023909195,0.0018230003,0.0042794514,0.0108112,0.0016229987,0.088736996,0.0,92.11,0.0,37.33,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,1,update,10000,171589.56,0.0058278604,0.004789001,0.010301501,0.0201501,0.0045589986,0.340838,0.0,84.16,0.0,42.36,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,2,delete,20000,30260.547,0.06134144,0.031563,0.12565051,0.20342296,0.005471,40.00883,0.0,84.59,0.0,70.185,0.0,0.0,0.0,9.0,2
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,2,insert,20000,31443.201,0.057923403,0.0202,0.1179465,0.20272806,0.0043579983,52.342342,0.0,91.7,0.0,43.88,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,2,read,20000,238773.31,0.006135883,0.0023640005,0.008927998,0.03744491,0.0016030008,41.03021,0.0,86.16,0.0,24.97,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,2,update,20000,45012.184,0.040205788,0.011903,0.08040495,0.14101684,0.004609001,51.157597,0.0,105.41,0.0,65.95,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,4,delete,40000,18435.29,0.20646948,0.041427,0.3133635,0.51956064,0.0053700004,72.94795,0.0,98.81333333333333,0.0,115.3,0.0,0.0,0.0,29.0,3
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,4,insert,40000,19142.922,0.19970426,0.038647,0.31933343,0.55196464,0.0046999995,76.33241,0.0,77.47333333333334,0.0,89.53333333333335,0.0,0.0,0.0,38.2,3
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,4,read,40000,139411.05,0.018572029,0.0023350003,0.017335,0.08948081,0.0016129997,77.73542,0.0,95.84,0.0,89.66,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,4,update,40000,23255.246,0.15739734,0.0289405,0.23131356,0.3713058,0.0045489995,79.415,0.0,98.87,0.0,101.43,0.0,0.0,0.0,22.0,2
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,8,delete,80000,10425.461,0.7252073,0.134783,0.54639876,1.115968,0.005240001,89.37421,0.0,92.29857142857144,0.0,170.28714285714287,0.0,0.0,0.0,92.0,7
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,8,insert,80000,10732.069,0.71029377,0.118148,0.63402003,1.7815949,0.004499001,89.42266,0.0,98.43714285714285,0.0,170.4857142857143,0.0,0.0,0.0,121.0,7
berkeleydb,2026-07-09-02-29-05,1,wsl,small,10000,8,read,80000,80631.336,0.073833555,0.0042680004,0.0706705,0.1659434,0.001593,89.09309,0.0,101.04333333333334,0.0,162.96666666666667,0.0,0.0,0.0,0.0,3
