system,run_id,max_cpus,host_system,payload_size,iterations,workers,category,total_ops,throughput_ops_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,cpu_db_mean_perc,cpu_client_mean_perc,mem_db_mean_mib,mem_client_mean_mib,io_db_read_mib,io_db_write_mib,io_client_read_mib,io_client_write_mib,resource_samples
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,4,delete,40000,40899.992,0.09226532,0.027937,0.073545,0.10630201,0.005657,77.21163,0.0,69.74666666666667,0.0,135.1966666666667,0.0,0.0,0.0,29.0,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,4,insert,40000,41549.56,0.09124543,0.025562,0.083043,0.1368227,0.005168,75.45675,0.0,81.27666666666666,0.0,120.5,0.0,0.0,0.0,38.0,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,4,read,40000,110218.52,0.024883695,0.00475,0.01641645,0.0349917,0.001815,76.792564,0.0,97.245,0.0,141.8,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,4,update,40000,50710.46,0.075713255,0.020394,0.056293,0.081088394,0.005099,75.604614,0.0,72.86,0.0,123.68666666666667,0.0,0.0,0.0,18.0,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,8,delete,80000,26628.424,0.28371075,0.060343,0.161755,0.25855768,0.006146,97.38772,0.0,94.18199999999999,0.0,177.42000000000002,0.0,0.0,0.0,97.0,5
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,8,insert,80000,28941.75,0.24238765,0.044002,0.1702805,0.3429359,0.005168,87.904015,0.0,87.42750000000001,0.0,181.14000000000001,0.0,0.0,0.0,76.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,8,read,80000,80967.89,0.08232228,0.008101,0.03122,0.0579,0.001885,88.840256,0.0,100.445,0.0,193.575,0.0,0.0,0.0,57.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,8,update,80000,34991.164,0.21836682,0.039181,0.108257,0.16853,0.005099,88.55264,0.0,86.6625,0.0,198.475,0.0,0.0,0.0,36.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,1,delete,100000,112547.48,0.00888514,0.007333,0.012432,0.01767,0.005657,11.721621,0.0,99.715,0.0,118.4,0.0,0.0,0.0,64.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,1,insert,100000,105234.44,0.0095025925,0.006774,0.02242,0.031709,0.005168,15.90841,0.0,99.55,0.0,99.875,0.0,0.0,0.0,57.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,1,read,100000,252827.56,0.003955265,0.003422,0.006216,0.011664,0.001816,0.406134,0.0,102.86,0.0,98.25,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,1,update,100000,133266.67,0.007503751,0.006705,0.011314,0.017042,0.004679,8.91809,0.0,95.18,0.0,107.30000000000001,0.0,0.0,0.0,62.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,2,delete,200000,58736.28,0.032939196,0.019067,0.038273,0.053499,0.005797,49.55283,0.0,101.2,0.0,161.53333333333333,0.0,0.0,0.0,151.92000000000007,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,2,insert,200000,59261.51,0.03326692,0.016203,0.04428,0.070681,0.00426,45.09037,0.0,101.75,0.0,140.53333333333333,0.0,0.0,0.0,171.0,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,2,read,200000,158187.17,0.010729756,0.003842,0.009498,0.023327,0.001885,51.74803,0.0,99.705,0.0,160.4,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,2,update,200000,74492.41,0.026558254,0.010965,0.030102,0.04092701,0.005098,46.138054,0.0,100.95666666666666,0.0,157.96666666666667,0.0,0.0,0.0,166.0,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,4,delete,400000,40563.016,0.095757365,0.030311,0.077384,0.111607,0.006495,75.415276,0.0,100.88285714285715,0.0,268.45714285714286,0.0,0.0,0.0,286.7199999999998,7
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,4,insert,400000,42013.332,0.09082248,0.026261,0.082483,0.13528469,0.000908,76.210175,0.0,101.21142857142857,0.0,224.07142857142858,0.0,0.0,0.0,399.3599999999999,7
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,4,read,400000,131933.27,0.027573027,0.005727,0.019486,0.04525869,0.001816,77.76469,0.0,98.48333333333333,0.0,239.66666666666666,0.0,0.0,0.0,0.0,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,4,update,400000,51517.38,0.0766788,0.02186,0.058317,0.083531,0.005099,76.78479,0.0,102.08833333333332,0.0,261.65000000000003,0.0,0.0,0.0,337.9200000000001,6
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,8,delete,800000,24701.295,0.31524342,0.063693,0.163143,0.26168668,0.006286,89.5852,0.0,101.82761904761905,0.0,476.9190476190476,0.0,0.0,0.0,942.0799999999999,21
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,8,insert,800000,26915.846,0.28935972,0.055803,0.201773,0.39292926,0.001816,88.734085,0.0,101.954,0.0,394.83000000000004,0.0,0.0,0.0,983.04,20
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,8,read,800000,63955.676,0.11439711,0.012431,0.055798,0.107266,0.001885,89.59795,0.0,100.89099999999999,0.0,462.36,0.0,0.0,0.0,358.4000000000001,10
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,100000,8,update,800000,31089.035,0.25032622,0.045812,0.1197,0.184092,0.005168,89.78362,0.0,102.085,0.0,475.47222222222223,0.0,0.0,0.0,665.5999999999999,18
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,1,delete,1000000,105316.24,0.009495211,0.007682,0.014876,0.020114,0.005866,12.432975,0.0,96.81428571428572,0.0,407.0571428571429,0.0,0.0,0.0,706.5600000000004,7
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,1,insert,1000000,106673.016,0.0093744425,0.007054,0.022488,0.030101,0.005169,22.056673,0.0,96.815,0.0,360.075,0.0,0.0,0.0,1228.8000000000002,8
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,1,read,1000000,242800.56,0.0041186064,0.0037719999,0.006565,0.00866,0.0018849999,0.636587,0.0,99.84200000000001,0.0,400.6,0.0,0.0,0.0,10.239999999999782,5
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,1,update,1000000,129635.92,0.007713911,0.007054,0.011384,0.016552,0.005168,24.069778,0.0,98.82142857142857,0.0,402.90000000000003,0.0,0.0,0.0,440.3200000000006,7
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,2,delete,2000000,52941.508,0.036917396,0.019698,0.04617,0.069499,0.005797,49.068768,0.0,100.98956521739132,0.0,659.4782608695652,0.0,0.0,0.0,4096.0,23
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,2,insert,2000000,58901.09,0.033843774,0.016971,0.045675,0.072006,0.005308,52.664333,0.0,100.39260869565219,0.0,528.3304347826087,0.0,0.0,0.0,2324.4799999999996,23
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,2,read,2000000,145170.47,0.013532884,0.003911,0.021999,0.037155,0.001885,214.15666,0.0,99.10454545454546,0.0,645.3363636363637,0.0,0.0,0.0,1638.3999999999996,11
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,2,update,2000000,71994.65,0.027280768,0.010825,0.03052,0.042882,0.004819,439.111,0.0,100.02473684210527,0.0,650.8052631578947,0.0,0.0,0.0,1638.3999999999996,19
